0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-435.9501,0.23552369,0.23369281,0.23066574,0.22647956,0.22118196,0.21483886,0.20752531,0.19932927,0.1903475,0.18068862,0.1704675,0.15980586,0.14883155,0.13767442,0.12646738,0.115342416,0.10443411,0.09386852,0.083770975
-435.34384,1.0675747,0.9989174,0.9111823,0.8333124,0.7881697,0.7837024,0.81005555,0.8438444,0.85778844,0.83192325,0.7618263,0.6606608,0.55415666,0.4706043,0.42977294,0.4352414,0.4730777,0.5175321,0.5412214
-424.50894,15.460878,13.017341,10.127569,7.9047265,6.9837313,7.275709,8.137075,8.812363,8.861374,8.321831,7.5503387,6.8942585,6.4386845,5.995063,5.3145723,4.350562,3.365919,2.7974803,2.9635682
-400.62515,45.31595,32.773396,17.754612,5.9278708,0.74946237,2.1499062,7.179432,12.0403595,14.200138,13.381411,11.040604,8.915682,7.728377,6.8868575,5.2664394,2.392368,-0.89302665,-2.795196,-1.7384876
-393.79126,53.610878,37.510384,18.126635,2.6771817,-4.357872,-2.916933,3.3980293,9.816671,13.032562,12.490677,9.83911,7.226225,5.730739,4.926548,3.6819954,1.4279679,-1.1250334,-2.3625038,-0.9457779
-398.50943,47.03324,31.166458,12.062447,-3.0727,-9.621672,-7.311816,0.34935728,8.397211,13.037886,13.150347,10.069706,6.129999,3.0770903,1.3260804,0.316294,-0.55067706,-1.2108595,-0.99284786,0.692413
-399.6586,44.752804,27.360796,6.90427,-8.421959,-13.676669,-9.10866,0.75669944,10.0758295,14.822806,14.361341,10.846844,7.210047,5.1974397,4.658967,4.2808633,2.9839926,0.88213813,-0.8423317,-0.9372024
-399.95978,44.837303,28.7383,9.756762,-4.593136,-9.82551,-6.2383413,1.9855503,9.561989,13.011551,12.055054,8.945755,6.4768476,6.091283,7.2451224,8.213896,7.5732813,5.2481465,2.4590049,0.7292854
-399.21387,46.60845,32.110435,14.346227,-0.28850502,-7.497938,-6.680467,-0.5949104,6.5098715,11.14777,12.025562,10.063107,7.2758274,5.3677135,4.8812246,5.2572727,5.545969,5.1687355,4.229561,3.2718625
-397.82153,47.539948,30.57806,10.459663,-4.9629326,-10.918911,-7.579438,0.80063367,8.711647,12.409081,11.436379,8.033283,5.129964,4.367973,5.3577094,6.427313,6.1233807,4.3301105,2.272361,1.5142612
-396.4413,48.890312,30.465485,8.832985,-7.3770123,-13.102007,-8.823561,0.56424785,9.033432,12.749528,11.563404,8.10671,5.446809,5.000873,5.9902287,6.528003,5.331773,2.757481,0.47562805,0.14257628
-396.65207,49.30677,32.61427,12.733421,-2.7233772,-9.161879,-6.7404175,0.54642135,7.615286,11.097067,10.617999,8.104992,5.9191194,5.2073536,5.482953,5.4634323,4.3365645,2.4513354,0.9827621,0.92984813
-392.77368,54.884502,38.426857,18.812046,3.5266018,-2.9198046,-0.69632566,6.2586527,12.942604,16.035446,15.137674,12.068947,9.038799,7.0701904,5.6613073,3.6811268,0.6370235,-2.705893,-4.7959156,-4.4565277
-383.73914,67.40497,50.129536,29.084728,11.898521,3.5047474,4.293299,10.693344,17.602608,21.137712,20.199554,16.224724,11.622932,8.079021,5.7702847,3.7951841,1.2803898,-1.733552,-4.251319,-5.0870485
-370.91336,84.61665,64.947815,40.977364,21.281563,11.248745,11.058098,16.5155,21.97488,23.491503,20.445381,14.984634,10.004498,7.1415153,6.0211573,5.014536,2.7458072,-0.79989994,-4.301673,-6.1344557
-325.68005,140.62419,100.63277,52.679504,14.437647,-3.8113868,-2.9908504,7.4034557,16.12804,16.72883,10.029568,1.7627213,-2.3634074,-0.60317844,4.267738,7.599077,6.441098,1.4610679,-3.91666,-6.2190504
-299.71048,170.26668,113.52185,49.2733,3.6276135,-11.824174,-3.4840388,11.982259,19.878935,15.71874,5.0352364,-3.3189635,-4.4208317,0.13232625,5.0616126,6.2314816,3.3449001,-0.88288087,-3.409865,-2.9657817
-301.48828,167.69125,111.55877,49.28897,5.622317,-9.755634,-3.0617206,10.821787,18.128819,14.0356655,3.91149,-3.266571,-3.2605817,1.3039348,5.494158,6.7198505,5.1974897,2.2625399,-0.4767177,-1.4943073
-325.5691,141.13712,102.163956,55.644016,18.670902,0.73813266,0.3852203,8.318066,14.297761,13.145193,6.4294996,-0.36597776,-2.534853,0.66964173,6.136304,9.594498,8.65066,4.093309,-1.0989398,-4.016618
-360.4665,99.09941,78.58063,53.249977,31.710667,19.347929,16.367334,18.725822,21.103493,19.99585,15.172585,8.943651,4.0659065,1.828594,1.5051255,1.2941269,-0.13392645,-2.6597667,-4.942517,-5.565272
-369.81772,86.84653,68.95685,47.162376,29.13123,19.466442,18.002596,20.812132,23.04498,21.749178,17.049454,11.257753,6.819482,4.6059227,3.6269596,2.147424,-0.7699503,-4.467326,-7.178567,-7.3774624
-374.72034,80.255226,63.259384,42.60817,25.706436,17.090343,16.704018,20.724663,24.210543,23.889038,19.514969,13.258343,7.819073,4.6336136,3.27894,2.2542622,0.3924507,-2.1754827,-4.152939,-4.130912
-378.747,74.72023,58.202885,38.327667,22.42045,14.877432,15.498863,20.403599,24.728954,25.374805,22.22858,17.41035,13.340151,11.046831,9.779886,7.981946,4.7495966,0.66531014,-2.5738125,-3.4068632
-379.8293,72.62605,54.648994,33.01094,15.743266,7.7854977,9.144523,15.794606,22.49321,25.684118,24.841408,21.76421,18.653423,16.438011,14.430281,11.332907,6.664907,1.4581306,-2.3090692,-3.1122916
-382.97873,68.52665,51.35761,30.40422,13.227675,4.749465,5.4148846,11.753281,18.766266,22.641058,22.292679,19.103844,15.362031,12.582966,10.7838,8.99284,6.418502,3.3177626,0.9139258,0.45268852
-387.82593,62.116844,46.119083,26.637266,10.717073,2.8773665,3.4203372,9.0223875,15.03236,18.025799,17.199272,14.038879,10.778046,8.796752,7.965473,7.1820526,5.5319166,3.1541986,1.197755,0.9438062
-389.5163,59.715607,43.708904,24.260283,8.417542,0.6445935,1.1836574,6.734085,12.79115,16.132011,16.055275,13.913713,11.572247,9.978031,8.757378,6.9243765,4.006632,0.6775147,-1.5763493,-1.4895258
-392.4296,56.201786,41.671333,23.756454,8.726917,0.7782119,0.5379834,5.469755,11.695851,16.056683,17.28424,15.871587,13.0606785,9.808146,6.403488,2.8161983,-0.702301,-3.3640032,-4.199731,-2.7700062
-393.05582,55.11252,40.203255,22.252245,7.9195523,1.2994909,2.3774953,7.7670546,13.065744,15.316838,14.179249,11.347195,8.876923,7.662217,7.0358634,5.6091948,2.6103,-1.2990212,-4.31649,-4.6879992
-393.56473,54.240444,38.977795,20.730236,6.4367175,0.34458876,2.3795953,8.900272,15.167967,17.962318,16.868492,13.720905,10.852923,9.437336,8.962805,8.013786,5.630978,2.2088757,-0.700138,-1.4928205
-393.7985,53.85337,38.522694,20.421856,6.657606,1.4208877,4.325655,11.303229,17.311974,19.151405,16.779957,12.588234,9.362602,8.383459,8.843709,8.79138,6.7822123,3.032014,-0.7042862,-2.378817
-392.3545,56.056545,41.07853,23.203537,9.2124,3.1564777,4.7989635,10.460508,15.548172,17.149902,15.213232,11.83768,9.405243,8.894872,9.437831,9.23904,7.072692,3.2543597,-0.5550175,-2.5092916
-387.61087,61.74633,44.223244,23.50971,7.6319623,1.2219958,3.7217588,10.543619,16.224648,17.536648,14.75711,10.623089,7.972519,7.774821,8.786286,8.8416815,6.682231,2.9547355,-0.29023075,-1.1620204
-387.758,61.497425,43.838577,22.879871,6.684888,0.005436048,2.4567971,9.5968075,15.995717,18.315252,16.624062,13.442371,11.461572,11.595939,12.604401,12.338047,9.561928,4.994708,0.8518016,-0.7308872
-389.74652,59.02328,42.202774,22.173403,6.6238256,0.189036,2.6466966,9.811174,16.364292,18.83473,17.038176,13.378147,10.74607,10.512241,11.854547,12.673614,11.291212,7.698887,3.5388107,0.9169574
-390.22375,59.063484,43.975906,25.71252,10.999302,4.0872087,5.1201878,10.726185,16.289434,18.490253,16.703661,12.662035,8.860515,6.8544064,6.4986763,6.448786,5.3975344,3.109058,0.5529041,-0.87824297
-388.3998,61.381912,45.619144,26.524998,11.08529,3.6777737,4.4068403,9.77356,15.071902,17.002983,15.047344,11.02725,7.419778,5.643468,5.379118,5.1852794,3.801207,1.1547782,-1.597399,-2.9444778
-386.90515,62.750713,45.039795,23.542545,6.1607056,-2.0046678,-0.59979725,6.5686727,14.083221,17.852617,16.827744,12.764828,8.503671,6.012498,5.3990145,5.3210497,4.2963743,1.9076748,-0.90575385,-2.5798452
-389.06223,59.422867,41.093353,19.155624,2.0440023,-4.894941,-1.4951378,7.890712,17.179901,21.76677,20.41277,15.0348015,8.887726,4.461977,2.354808,1.5722222,0.7631551,-0.61097497,-1.9573811,-2.1770139
-392.41928,55.32975,38.689304,18.777208,3.2205057,-3.19671,-0.39443892,7.6779766,15.633987,19.549236,18.56802,14.543739,10.259033,7.524536,6.3340216,5.4209146,3.6098113,0.9046703,-1.4521482,-1.9334127
-392.89224,55.490463,40.87297,23.032738,8.394753,1.134665,1.6459265,7.045274,13.194963,16.945086,17.351364,15.398352,12.715173,10.301256,8.094992,5.5143385,2.3915257,-0.5082779,-1.828935,-0.59781885
-393.46936,54.650185,40.034004,22.36694,8.137378,1.4079859,2.345737,7.902314,13.973038,17.60725,18.034151,16.189707,13.413956,10.388296,7.0042396,3.0506892,-1.0120974,-3.9277658,-4.340619,-1.8070831
-393.54782,54.20772,38.784897,20.303745,5.759202,-0.50665104,1.568063,8.4794,15.530643,19.334698,19.06498,16.02452,12.17565,8.778208,5.974577,3.3493884,0.79547024,-1.097368,-1.4346648,0.16791329
-392.4262,55.375412,38.9274,19.37514,4.2853036,-1.7539077,1.0772578,8.661539,15.668383,18.453876,16.522043,11.971293,7.60933,5.108245,4.3240037,3.9826806,3.0089326,1.4453632,0.3378623,0.7761478
-390.473,58.065132,41.302223,20.98494,4.553294,-3.289514,-2.3529878,3.727672,10.007931,12.991549,12.083227,9.127882,6.6277566,5.9398046,6.588949,6.9738693,5.7990847,3.152453,0.48592126,-0.43318295
-386.92267,63.016808,45.81591,24.211369,5.38798,-5.5963893,-7.603027,-3.1833258,3.307939,8.079721,9.483999,8.151072,5.914802,4.387509,4.0766854,4.438946,4.6150017,4.2066193,3.5439873,3.3289757
-384.73022,65.9211,48.165047,25.733551,5.917783,-6.132614,-9.214366,-5.8241787,-0.23642805,3.8896456,5.0758686,4.0987353,2.8274705,2.7342453,4.01623,5.7400727,6.719982,6.422269,5.2790356,4.27176
-383.3678,67.036194,47.295,22.779118,1.8252265,-10.017939,-11.990732,-7.536392,-1.7298263,1.6519612,1.7758508,0.40025726,0.055146813,2.0828161,5.778915,9.037149,9.904018,7.9278774,4.4249854,1.5649222
-379.8264,70.9944,48.73552,21.715786,-0.3584578,-11.530083,-11.766224,-5.788741,0.39466646,2.994992,1.9669034,-0.017672658,-0.08378118,2.6886034,6.8226156,9.770645,9.86956,7.4881434,4.6363325,3.4431813
-379.6309,71.36562,49.34851,22.608715,0.72574884,-10.427448,-10.815414,-5.0701504,0.924806,3.4551153,2.4356992,0.38884687,0.018524408,2.1835647,5.5472174,7.881234,7.8733344,6.071256,4.351948,4.419752
-382.15698,68.75166,49.035103,24.60316,3.8344805,-7.6977134,-9.24893,-4.34196,1.7798793,5.079591,4.425562,1.367215,-1.5120802,-2.425744,-1.2693312,0.7842456,2.443991,3.2753973,3.827781,4.943799
-386.35434,63.466354,45.58094,23.797977,5.9175377,-3.1748254,-3.3303924,1.6501178,6.6896043,8.289752,5.970953,1.7338111,-1.776181,-3.048946,-2.3414645,-0.9819472,-0.07336885,0.37475204,1.2945604,3.600936
-388.64862,60.59826,43.641945,22.87806,5.6999784,-3.0863976,-3.056831,2.3778896,8.30247,10.957703,9.292084,4.791493,0.03229241,-2.9615645,-3.5857577,-2.4484658,-0.51887107,1.6276362,3.9660463,6.6177993
-385.95627,63.554245,44.51645,21.577408,3.2589612,-5.146941,-3.5825577,3.6411562,10.784688,13.827875,12.077795,7.6186743,3.339921,1.0012953,0.5135209,0.6308531,0.29118896,-0.47328138,-0.66705203,0.71687406
